area,type,number
Great Britain,ncn,272
Great Britain,ncn,273
Great Britain,ncn,274
Great Britain,ncn,275
Great Britain,ncn,276
Great Britain,ncn,277
Great Britain,ncn,278
Great Britain,ncn,305
Great Britain,ncn,326
Great Britain,ncn,334
Great Britain,ncn,338
Great Britain,ncn,339
Great Britain,ncn,341
Great Britain,ncn,344
Great Britain,ncn,403
Great Britain,ncn,410
Great Britain,ncn,413
Great Britain,ncn,416
Great Britain,ncn,423
Great Britain,ncn,425
Great Britain,ncn,426
Great Britain,ncn,436
Great Britain,ncn,437
Great Britain,ncn,438
Great Britain,ncn,439
Great Britain,ncn,440
Great Britain,ncn,442
Great Britain,ncn,446
Great Britain,ncn,447
Great Britain,ncn,448
Great Britain,ncn,451
Great Britain,ncn,455
Great Britain,ncn,461
Great Britain,ncn,465
Great Britain,ncn,466
Great Britain,ncn,467
Great Britain,ncn,468
Great Britain,ncn,469
Great Britain,ncn,475
Great Britain,ncn,476
Great Britain,ncn,477
Great Britain,ncn,478
Great Britain,ncn,481
Great Britain,ncn,482
Great Britain,ncn,485
Great Britain,ncn,492
Great Britain,ncn,523
Great Britain,ncn,524
Great Britain,ncn,525
Great Britain,ncn,526
Great Britain,ncn,533
Great Britain,ncn,534
Great Britain,ncn,535
Great Britain,ncn,536
Great Britain,ncn,539
Great Britain,ncn,544
Great Britain,ncn,547
Great Britain,ncn,548
Great Britain,ncn,549
Great Britain,ncn,550
Great Britain,ncn,552
Great Britain,ncn,554
Great Britain,ncn,555
Great Britain,ncn,558
Great Britain,ncn,559
Great Britain,ncn,561
Great Britain,ncn,562
Great Britain,ncn,566
Great Britain,ncn,568
Great Britain,ncn,573
Great Britain,ncn,576
Great Britain,ncn,577
Great Britain,ncn,585
Great Britain,ncn,622
Great Britain,ncn,627
Great Britain,ncn,633
Great Britain,ncn,636
Great Britain,ncn,645
Great Britain,ncn,646
Great Britain,ncn,647
Great Britain,ncn,648
Great Britain,ncn,656
Great Britain,ncn,657
Great Britain,ncn,658
Great Britain,ncn,665
Great Britain,ncn,668
Great Britain,ncn,672
Great Britain,ncn,674
Great Britain,ncn,676
Great Britain,ncn,677
Great Britain,ncn,680
Great Britain,ncn,681
Great Britain,ncn,686
Great Britain,ncn,688
Great Britain,ncn,689
Great Britain,ncn,696
Great Britain,ncn,697
Great Britain,ncn,699
Great Britain,ncn,700
Great Britain,ncn,715
Great Britain,ncn,725
Great Britain,ncn,753
Great Britain,ncn,754
Great Britain,ncn,756
Great Britain,ncn,764
Great Britain,ncn,765
Great Britain,ncn,766
Great Britain,ncn,767
Great Britain,ncn,768
Great Britain,ncn,775
Great Britain,ncn,776
Great Britain,ncn,777
Great Britain,ncn,780
Great Britain,ncn,810
Great Britain,ncn,811
Great Britain,ncn,818
Great Britain,ncn,819
Great Britain,ncn,820
Great Britain,ncn,822
Great Britain,ncn,825
Great Britain,ncn,862
Great Britain,ncn,881
Great Britain,ncn,882
Great Britain,ncn,883
Great Britain,ncn,884
Great Britain,ncn,885
Great Britain,ncn,887
